"No.","Time","Source","Destination","Protocol","Length","Info"
"5793","186.486000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5794","186.489000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5795","186.493000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5796","186.496000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5797","186.497000","","","IEEE 802.15.4","7","Ack"
"5798","187.547000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5799","187.548000","","","IEEE 802.15.4","7","Ack"
"5800","187.552000","2002:db8::212:7410:10:1010","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5801","187.554000","","","IEEE 802.15.4","7","Ack"
"5802","188.470000","2002:db8::212:7415:15:1515","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5803","188.472000","","","IEEE 802.15.4","7","Ack"
"5804","189.089000","2002:db8::212:7416:16:1616","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5805","189.093000","2002:db8::212:7416:16:1616","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5806","189.097000","2002:db8::212:7416:16:1616","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5807","189.098000","","","IEEE 802.15.4","7","Ack"
"5808","189.139000","00:12:74:05:00:05:05:05","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_05:00:05:05:05"
"5809","189.141000","","","IEEE 802.15.4","7","Ack"
"5810","189.145000","2002:db8::212:7416:16:1616","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5811","189.146000","","","IEEE 802.15.4","7","Ack"
"5812","190.250000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5813","190.253000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5814","190.256000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5815","190.257000","","","IEEE 802.15.4","7","Ack"
"5816","190.291000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5817","190.295000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5818","190.299000","00:12:74:09:00:09:09:09","00:12:74:15:00:15:15:15","6LoWPAN","106","Data, Dst: NitLab_15:00:15:15:15, Src: NitLab_09:00:09:09:09"
"5819","190.301000","","","IEEE 802.15.4","7","Ack"
"5820","190.310000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5821","190.312000","","","IEEE 802.15.4","7","Ack"
"5822","190.347000","00:12:74:15:00:15:15:15","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_15:00:15:15:15"
"5823","190.348000","","","IEEE 802.15.4","7","Ack"
"5824","190.352000","2002:db8::212:740e:e:e0e","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5825","190.354000","","","IEEE 802.15.4","7","Ack"
"5826","191.035000","2002:db8::212:7406:6:606","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5827","191.037000","","","IEEE 802.15.4","7","Ack"
"5828","193.961000","2002:db8::212:7402:2:202","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5829","193.962000","","","IEEE 802.15.4","7","Ack"
"5830","194.507000","2002:db8::212:7405:5:505","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5831","194.508000","","","IEEE 802.15.4","7","Ack"
"5832","195.002000","2002:db8::212:740a:a:a0a","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5833","195.004000","","","IEEE 802.15.4","7","Ack"
"5834","195.286000","2002:db8::212:7414:14:1414","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
